18:13:36:599 [ALWAYS]	GUDE Logging Started
18:13:36:599 [INFO]	SqliteResumeCache::SqliteResumeCache basedirectory is null/empty
18:13:36:599 [ERROR]	SqliteResumeCache::CreateSqliteResumeCache creating resume cache pointer failure
18:13:36:599 [ERROR]	Initialize resume cache pointer failure
18:13:36:599 [INFO]	gude policy POLICY_USER limit (2,2,1) chunk 2097152, chunking (UL 0 DL 1), resXfer 1, adapt 0, NSURL 0, timeout 86400 
18:13:36:599 [INFO]	Initialized -- gude-lib version: v0.12.1 app: gude
18:13:37:927 [WARN]	Ignoring attempt to reinit logging to \gude at level 4 retaining 3 days of logs
18:13:37:927 [INFO]	SqliteResumeCache::SqliteResumeCache basedirectory is null/empty
18:13:37:928 [ERROR]	SqliteResumeCache::CreateSqliteResumeCache creating resume cache pointer failure
18:13:37:928 [ERROR]	Initialize resume cache pointer failure
18:13:37:928 [INFO]	gude policy POLICY_USER limit (4,4,1) chunk 2097152, chunking (UL 0 DL 1), resXfer 1, adapt 0, NSURL 1, timeout 86400 
18:13:37:928 [INFO]	Initialized -- gude-lib version: v0.12.1 app: gude
